State,Year,cattleDepredated,cattleDepredatedL1,sheepDepredated,sheepDepredatedL1,wolfPopulation,wolvesKilled,wolvesKilledL1,wolfBreedingPairs,numberOfCattle,numberOfSheep
Montana,1987,6,NA,10,NA,10,4,NA,2,973600,147800
Montana,1988,0,6,0,10,14,0,4,1,932400,155400
Montana,1989,3,0,0,0,12,1,0,1,919000,157200
Montana,1990,5,3,0,0,33,1,1,3,834500,166600
Montana,1991,2,5,2,0,29,0,1,2,873300,163900
Montana,1992,1,2,0,2,41,0,0,4,942800,160800
Montana,1993,0,1,0,0,55,0,0,4,929000,138500
Montana,1994,6,0,0,0,48,0,0,5,930400,130500
Montana,1995,3,6,0,0,66,0,0,6,981300,119500
Montana,1996,10,3,13,0,70,5,0,7,1000900,113800
Montana,1997,19,10,41,13,56,18,5,5,982100,109600
Montana,1998,10,19,0,41,49,4,18,5,934600,106700
Montana,1999,20,10,25,0,74,19,4,7,934300,98100
Montana,2000,14,20,7,25,97,7,19,8,928700,93700
Montana,2001,12,14,50,7,123,8,7,7,918900,95600
Montana,2002,20,12,84,50,183,26,8,17,885500,93200
Montana,2003,24,20,86,84,182,34,26,10,844300,78400
Montana,2004,36,24,91,86,152,40,34,15,813000,76300
Montana,2005,23,36,33,91,256,35,40,19,803300,71500
Montana,2006,32,23,4,33,316,53,35,21,822000,71700
Montana,2007,75,32,27,4,422,73,53,39,803600,73500
Montana,2008,77,75,111,27,497,110,73,34,856200,73800
Montana,2009,97,77,202,111,524,145,110,37,847900,66800
Montana,2010,87,97,64,202,566,141,145,35,832700,65000
Montana,2011,74,87,11,64,653,64,141,39,818000,62600
Montana,2012,67,74,37,11,625,108,64,37,NA,NA
Montana,2013,NA,67,NA,37,NA,NA,108,NA,NA,NA
Wyoming,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wyoming,1995,0,NA,0,NA,21,0,NA,2,331000,79000
Wyoming,1996,0,0,0,0,40,0,0,4,341000,78000
Wyoming,1997,2,0,56,0,86,2,0,9,351000,74000
Wyoming,1998,2,2,7,56,112,3,2,6,362000,72000
Wyoming,1999,2,2,0,7,107,1,3,7,342000,70000
Wyoming,2000,3,2,25,0,153,2,1,12,332000,77000
Wyoming,2001,18,3,34,25,189,4,2,13,327000,69000
Wyoming,2002,23,18,0,34,217,6,4,18,290000,66000
Wyoming,2003,34,23,7,0,234,18,6,16,263000,66000
Wyoming,2004,75,34,18,7,272,29,18,25,268000,111400
Wyoming,2005,54,75,27,18,252,41,29,16,262000,112000
Wyoming,2006,123,54,38,27,311,44,41,25,269000,104900
Wyoming,2007,55,123,16,38,359,63,44,25,267000,102500
Wyoming,2008,41,55,26,16,302,46,63,22,271200,81600
Wyoming,2009,20,41,195,26,320,32,46,27,278100,80400
Wyoming,2010,26,20,33,195,343,40,32,27,272500,72200
Wyoming,2011,35,26,30,33,328,37,40,27,268400,70000
Wyoming,2012,44,35,112,30,277,43,37,21,NA,NA
Wyoming,2013,NA,44,NA,112,NA,NA,43,NA,NA,NA
Idaho,1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Idaho,1995,0,NA,0,NA,14,0,NA,NA,489300,87200
Idaho,1996,1,0,24,0,42,1,0,3,477500,79600
Idaho,1997,1,1,29,24,71,1,1,6,470400,84100
Idaho,1998,9,1,5,29,114,0,1,10,478500,85700
Idaho,1999,11,9,64,5,156,3,0,10,485900,79900
Idaho,2000,15,11,48,64,187,11,3,10,491500,81000
Idaho,2001,10,15,54,48,251,7,11,14,481000,85400
Idaho,2002,9,10,15,54,263,14,7,13,465500,89200
Idaho,2003,6,9,118,15,345,7,14,28,422000,81800
Idaho,2004,19,6,161,118,422,17,7,26,409200,82900
Idaho,2005,20,19,184,161,512,27,17,36,406800,82100
Idaho,2006,29,20,205,184,673,45,27,41,399100,76600
Idaho,2007,53,29,170,205,732,50,45,43,407400,30900
Idaho,2008,96,53,218,170,856,108,50,39,365700,26700
Idaho,2009,75,96,324,218,870,93,108,49,350200,23412
Idaho,2010,75,75,148,324,777,78,93,46,357800,24527
Idaho,2011,71,75,121,148,768,63,78,40,368600,25700
Idaho,2012,73,71,312,121,683,73,63,35,NA,NA
Idaho,2013,NA,73,NA,312,NA,NA,73,NA,NA,NA
