"","American Crow","American Dipper","American Goldfinch","American Kestrel"
"1952",353,12,16,2
"1956",5,2,36,2
"1957",3,3,7,3
"1958",168,8,3,7
"1960",2,5,3,6
"1962",590,20,6,2
"1963",130,15,1,5
"1964",13,10,3,4
"1965",100,2,6,2
"1966",390,5,32,12
"1967",870,11,55,4
"1968",1100,15,56,9
"1969",990,9,31,12
"1970",390,5,30,4
"1971",720,11,8,11
"1972",248,13,9,14
"1973",29,6,55,6
"1974",623,15,24,16
"1975",250,35,10,19
"1976",1756,5,153,23
"1977",644,6,61,33
"1979",362,4,31,23
"1980",731,9,159,31
"1981",357,15,81,34
"1982",125,9,63,51
"1983",85,12,186,24
"1984",184,19,90,45
"1985",104,9,61,27
"1986",159,12,101,37
"1987",166,10,65,36
"1988",127,16,190,40
"1989",352,12,48,23
"1990",148,7,147,19
"1991",173,16,108,49
"1992",98,21,47,33
"1993",1111,15,168,30
"1994",419,8,96,47
"1995",1137,8,144,49
"1996",1266,17,114,62
"1997",1346,14,267,48
"1998",495,24,293,50
"1999",1663,21,238,68
"2000",1672,8,220,91
"2001",486,3,287,58
"2002",1469,13,105,55
"2003",448,28,226,59
"2004",799,25,94,64
"2005",1304,35,295,68
"2006",1713,15,139,90
"2007",1239,27,248,55
"2008",1019,25,138,58
"2009",551,34,189,86
"2010",805,16,300,81
"2011",1037,32,346,94
"2012",894,14,374,174
"2013",1005,11,248,102
"2014",1612,23,215,118
"2015",748,29,410,113
"2016",803,42,157,65
"2017",871,13,249,67
